SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
20MICRONS,EQ,34.7,35.1,32.0,32.4,33.25,34.45,232866,7865853.0,30-JUN-2020,1623,INE144J01027,
21STCENMGM,EQ,11.1,11.1,10.9,10.9,10.9,11.1,4693,51222.7,30-JUN-2020,29,INE253B01015,
3IINFOTECH,EQ,2.7,2.7,2.65,2.7,2.7,2.6,9677859,26128095.9,30-JUN-2020,1848,INE748C01020,
3MINDIA,EQ,19114.0,19235.0,18727.7,18795.25,18788.0,19113.85,4096,78105539.55,30-JUN-2020,2414,INE470A01017,
3PLAND,EQ,6.4,6.45,6.4,6.45,6.45,6.4,100,644.0,30-JUN-2020,2,INE105C01023,
5PAISA,EQ,221.9,230.2,216.3,222.9,224.0,216.2,30723,6900756.35,30-JUN-2020,1099,INE618L01018,
63MOONS,BE,77.7,78.6,75.25,75.65,76.4,76.75,18453,1424733.45,30-JUN-2020,215,INE111B01023,
A2ZINFRA,EQ,5.7,5.95,5.45,5.5,5.55,5.7,821208,4695898.9,30-JUN-2020,887,INE619I01012,
AARTIDRUGS,EQ,1285.0,1303.4,1260.05,1270.55,1271.0,1269.6,89351,114966541.75,30-JUN-2020,5367,INE767A01016,
AARTIIND,EQ,933.0,937.0,915.0,931.4,936.0,924.55,256437,237777089.15,30-JUN-2020,10076,INE769A01020,
AARVEEDEN,BE,12.5,12.5,11.65,11.8,11.65,12.25,9953,116640.85,30-JUN-2020,49,INE273D01019,
AARVI,EQ,29.9,29.9,29.9,29.9,29.9,28.5,1260,37674.0,30-JUN-2020,6,INE754X01016,
AAVAS,EQ,1369.9,1378.45,1320.0,1339.25,1330.0,1370.25,31415,42236198.9,30-JUN-2020,3920,INE216P01012,
ABAN,EQ,31.8,33.3,30.5,33.3,33.3,30.3,402553,13138132.95,30-JUN-2020,1583,INE421A01028,
ABB,EQ,927.0,948.75,903.1,941.15,946.0,922.35,259932,241957354.45,30-JUN-2020,10434,INE117A01022,
ABBOTINDIA,EQ,15898.0,15898.0,15705.0,15736.5,15750.0,15727.0,7398,116636805.5,30-JUN-2020,3010,INE358A01014,
ABCAPITAL,EQ,66.4,66.45,63.0,63.3,63.4,65.75,2345379,151243252.1,30-JUN-2020,10250,INE674K01013,
ABFRL,EQ,128.4,130.2,124.45,125.3,125.0,127.4,1020365,129707042.0,30-JUN-2020,22331,INE647O01011,
ABSLBANETF,EQ,224.93,224.97,210.3,224.0,224.0,215.0,80,17718.65,30-JUN-2020,12,INF209KB1O58,
ABSLNN50ET,EQ,255.29,267.64,255.29,256.02,256.02,257.1,81,20973.25,30-JUN-2020,12,INF209KB1B87,
ACC,EQ,1293.0,1335.6,1288.25,1332.25,1335.0,1289.2,2752805,3640773429.55,30-JUN-2020,77204,INE012A01025,
ACCELYA,EQ,920.85,928.0,917.85,920.0,920.0,920.85,196346,180797862.0,30-JUN-2020,2592,INE793A01012,
ACE,EQ,55.2,56.65,54.25,54.45,54.45,54.75,327857,18141871.95,30-JUN-2020,2352,INE731H01025,
ADANIENT,EQ,161.4,164.15,155.25,156.25,156.2,159.75,3827270,610321357.45,30-JUN-2020,22464,INE423A01024,
ADANIGAS,EQ,157.8,161.8,151.4,152.6,153.0,157.35,2030317,319118150.65,30-JUN-2020,19315,INE399L01023,
ADANIGREEN,EQ,358.85,358.85,358.85,358.85,358.85,377.7,126379,45351104.15,30-JUN-2020,3967,INE364U01010,
ADANIPORTS,EQ,344.0,349.8,342.4,343.9,346.1,342.65,2828820,980512294.7,30-JUN-2020,37742,INE742F01042,
ADANIPOWER,EQ,36.75,36.75,35.8,36.0,35.85,36.25,2777667,100579480.3,30-JUN-2020,7007,INE814H01011,
ADANITRANS,EQ,271.9,274.9,257.55,260.2,260.0,270.45,844725,221542254.8,30-JUN-2020,7876,INE931S01010,
ADFFOODS,EQ,290.0,302.0,286.3,292.45,302.0,288.8,15379,4471100.9,30-JUN-2020,631,INE982B01019,
ADHUNIKIND,EQ,24.2,24.2,24.2,24.2,24.2,25.45,16556,400655.2,30-JUN-2020,55,INE452L01012,
ADORWELD,EQ,260.1,265.45,256.45,258.25,258.5,262.35,13128,3439670.8,30-JUN-2020,699,INE045A01017,
ADROITINFO,EQ,7.8,7.9,7.8,7.9,7.9,7.55,15749,124046.7,30-JUN-2020,83,INE737B01033,
ADSL,EQ,16.2,17.0,16.15,17.0,17.0,16.2,86534,1456020.7,30-JUN-2020,201,INE102I01027,
ADVANIHOTR,EQ,44.5,46.5,44.2,45.5,45.9,44.5,7402,334365.75,30-JUN-2020,248,INE199C01026,
ADVENZYMES,EQ,175.0,177.5,170.0,170.65,171.85,173.5,72052,12455875.6,30-JUN-2020,2169,INE837H01020,
AEGISCHEM,EQ,184.6,185.75,175.15,176.5,175.5,179.1,202669,36397298.75,30-JUN-2020,9337,INE208C01025,
AFFLE,EQ,1490.0,1492.85,1456.1,1460.25,1463.0,1480.45,15040,22152676.5,30-JUN-2020,2113,INE00WC01019,
AGARIND,EQ,72.65,72.65,70.05,70.4,70.3,70.2,17133,1211829.65,30-JUN-2020,231,INE204E01012,
AGCNET,EQ,294.0,294.0,276.25,292.65,294.0,282.15,2598,745967.85,30-JUN-2020,107,INE676A01019,
AGRITECH,BE,35.5,35.95,34.65,35.0,35.0,35.5,2651,92479.5,30-JUN-2020,48,INE449G01018,
AGROPHOS,EQ,16.85,16.9,16.1,16.8,16.9,16.1,118863,1993886.2,30-JUN-2020,496,INE740V01019,
AHLEAST,EQ,143.9,143.95,133.75,136.45,133.75,137.55,425,59638.3,30-JUN-2020,61,INE926K01017,
AHLUCONT,EQ,208.2,209.0,202.65,205.7,206.0,208.2,7124,1470899.5,30-JUN-2020,343,INE758C01029,
AHLWEST,EQ,268.0,268.0,250.55,257.9,258.0,257.75,329,85150.15,30-JUN-2020,38,INE915K01010,
