SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
AXISGOLD,EQ,3180.0,3196.25,3094.0,3151.15,3152.0,3082.7,47231,148112093.9,11-NOV-2012,1438,INF846K01347,
BSLGOLDETF,EQ,3180.0,3278.0,3167.1,3182.55,3167.1,3136.25,1635,5238175.45,11-NOV-2012,431,INF209K01HT2,
CRMFGETF,EQ,3474.0,3474.0,3171.25,3187.85,3178.05,3165.0,166,531382.85,11-NOV-2012,66,INF760K01BR1,
GOLDBEES,EQ,3036.85,3039.9,3015.0,3027.25,3020.7,3015.3,1408593,4271249030.0,11-NOV-2012,43943,INF732E01102,
GOLDSHARE,EQ,3060.0,3097.0,3025.0,3050.45,3045.1,3020.45,24181,73805214.6,11-NOV-2012,3904,INF789F01059,
HDFCMFGETF,EQ,3200.0,3200.0,3141.0,3149.15,3147.0,3135.55,57541,181653027.2,11-NOV-2012,5003,INF179K01CN1,
IDBIGOLD,EQ,3230.0,3293.3,3172.0,3188.5,3180.0,3137.8,3335,10651406.95,11-NOV-2012,914,INF397L01554,
IPGETF,EQ,3130.0,3199.0,3100.0,3149.4,3154.0,3090.3,2592,8171509.85,11-NOV-2012,639,INF109K01FV4,
KOTAKGOLD,EQ,3084.45,3084.45,3037.0,3044.85,3037.0,3037.4,567031,1729076770.3,11-NOV-2012,17065,INF373I01015,
MGOLD,EQ,3200.0,3270.0,3178.0,3187.5,3184.0,3175.25,33090,105528738.9,11-NOV-2012,3831,INF247L01072,
QGOLDHALF,EQ,1510.0,1642.0,1505.1,1513.0,1505.2,1508.25,28085,42850952.55,11-NOV-2012,4244,INF082J01010,
RELGOLD,EQ,2980.0,2999.0,2960.0,2964.25,2964.8,2954.95,2136955,6338893903.75,11-NOV-2012,22484,INF733I01010,
RELIGAREGO,EQ,3104.8,3152.0,3104.8,3132.85,3135.0,3095.0,80531,252639170.4,11-NOV-2012,4529,INF205K01361,
SBIGETS,EQ,3098.0,3150.0,3091.0,3119.8,3119.0,3085.45,64884,202690230.8,11-NOV-2012,9346,INF200K01099,
