SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
20MICRONS,EQ,40.15,40.4,38.9,39.1,38.9,39.4,64393,2554598.8,13-JUN-2018,640,INE144J01027,
21STCENMGM,EQ,37.4,38.1,36.7,38.0,38.0,37.4,1762,65640.9,13-JUN-2018,16,INE253B01015,
3IINFOTECH,EQ,4.7,4.7,4.5,4.6,4.6,4.6,1789643,8252956.15,13-JUN-2018,693,INE748C01020,
3MINDIA,EQ,19000.15,19200.15,18999.0,19133.25,19165.0,18963.85,326,6234604.75,13-JUN-2018,194,INE470A01017,
3PLAND,EQ,14.35,14.35,13.55,13.95,14.0,14.0,17620,246628.0,13-JUN-2018,15,INE105C01023,
5PAISA,EQ,404.95,409.9,378.5,383.25,381.1,396.15,9654,3834123.45,13-JUN-2018,438,INE618L01018,
63MOONS,EQ,86.25,88.15,85.05,85.45,85.3,86.95,308637,26615168.45,13-JUN-2018,3829,INE111B01023,
8KMILES,EQ,535.45,548.0,533.75,537.5,537.95,533.75,160856,87206031.35,13-JUN-2018,5623,INE650K01021,
A2ZINFRA,EQ,24.15,24.5,23.5,23.65,23.55,23.95,444449,10706465.25,13-JUN-2018,2531,INE619I01012,
AARTIDRUGS,EQ,532.0,540.6,527.05,536.9,536.5,531.0,7666,4082419.95,13-JUN-2018,510,INE767A01016,
AARTIIND,EQ,1239.95,1288.0,1228.0,1276.85,1276.95,1234.05,27758,35089799.1,13-JUN-2018,2006,INE769A01020,
AARVEEDEN,EQ,34.0,35.6,33.65,34.25,34.2,34.55,4170,143729.3,13-JUN-2018,58,INE273D01019,
ABAN,EQ,123.8,127.85,123.55,125.5,125.15,123.95,801666,100879361.85,13-JUN-2018,8935,INE421A01028,
ABB,EQ,1289.5,1312.75,1250.5,1262.45,1262.0,1284.3,60804,78413101.1,13-JUN-2018,4968,INE117A01022,
ABBOTINDIA,EQ,6379.95,6400.0,6322.0,6340.1,6360.0,6360.1,4170,26561859.75,13-JUN-2018,624,INE358A01014,
ABCAPITAL,EQ,139.7,140.75,138.8,139.55,139.6,139.25,1290457,180317183.8,13-JUN-2018,11019,INE674K01013,
ABFRL,EQ,138.05,141.25,138.05,138.4,138.25,137.9,172199,24057010.3,13-JUN-2018,2018,INE647O01011,
ABMINTLTD,BE,21.55,21.55,21.55,21.55,21.55,22.65,1,21.55,13-JUN-2018,1,INE251C01017,
