SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
20MICRONS,EQ,76.8,78.25,76.6,77.0,77.5,78.2,88939,6886908.55,10-JUN-2022,1135,INE144J01027,
21STCENMGM,EQ,21.5,21.5,21.4,21.4,21.4,21.8,2760,59065.1,10-JUN-2022,49,INE253B01015,
3IINFOLTD,EQ,46.55,47.0,44.15,45.8,45.95,47.0,314925,14428027.9,10-JUN-2022,4305,INE748C01038,
3MINDIA,EQ,20611.0,20699.0,20356.55,20484.75,20594.0,20672.5,1037,21266906.3,10-JUN-2022,699,INE470A01017,
3PLAND,BE,13.0,14.25,13.0,14.25,14.25,13.6,6557,89845.25,10-JUN-2022,48,INE105C01023,
5PAISA,EQ,314.0,321.0,310.25,316.2,315.7,310.75,7531,2377053.85,10-JUN-2022,458,INE618L01018,
63MOONS,EQ,167.05,173.9,165.85,169.15,169.95,168.15,34600,5879469.9,10-JUN-2022,1267,INE111B01023,
A2ZINFRA,EQ,11.45,11.9,11.0,11.75,11.7,11.35,232354,2688203.25,10-JUN-2022,562,INE619I01012,
AAKASH,EQ,22.75,22.75,21.05,22.2,21.8,22.15,900235,20013178.35,10-JUN-2022,1236,INE087Z01024,
AAREYDRUGS,EQ,34.2,35.7,33.65,34.6,35.05,34.25,17494,607157.0,10-JUN-2022,277,INE198H01019,
AARON,EQ,112.6,117.75,110.25,114.35,115.0,115.25,3608,413036.15,10-JUN-2022,302,INE721Z01010,
AARTIDRUGS,EQ,425.0,430.15,423.5,427.0,430.0,430.05,25374,10842800.5,10-JUN-2022,2821,INE767A01016,
AARTIIND,EQ,702.05,716.0,698.0,713.3,712.8,709.85,629259,446994874.25,10-JUN-2022,21614,INE769A01020,
AARTISURF,EQ,693.0,693.0,685.65,688.85,691.5,691.05,3051,2102315.6,10-JUN-2022,471,INE09EO01013,
AARVEEDEN,EQ,23.4,23.65,22.2,22.9,23.0,23.3,4089,93995.45,10-JUN-2022,57,INE273D01019,
AARVI,EQ,104.4,104.4,100.55,102.0,103.4,103.55,7189,733056.05,10-JUN-2022,102,INE754X01016,
AAVAS,EQ,2047.0,2060.1,2022.0,2039.7,2042.45,2052.75,69323,141485660.85,10-JUN-2022,4888,INE216P01012,
ABAN,EQ,52.95,53.7,50.1,50.45,50.45,53.5,413808,21349954.25,10-JUN-2022,5921,INE421A01028,
ABB,EQ,2320.0,2362.9,2297.2,2333.35,2327.8,2352.4,175206,407398384.1,10-JUN-2022,15079,INE117A01022,
ABBOTINDIA,EQ,17989.95,18280.0,17800.0,18191.45,18187.2,18057.35,12116,218544015.85,10-JUN-2022,6462,INE358A01014,
ABCAPITAL,EQ,101.3,101.9,100.25,100.65,100.5,102.5,1584250,159895029.4,10-JUN-2022,7337,INE674K01013,
ABFRL,EQ,255.5,259.75,255.1,259.05,258.4,259.0,2020180,519473653.6,10-JUN-2022,13467,INE647O01011,
ABMINTLLTD,BE,91.9,91.9,91.9,91.9,91.9,92.4,100,9190.0,10-JUN-2022,1,INE251C01025,
ABSLAMC,EQ,414.0,417.2,412.0,415.25,415.35,414.6,103912,43107870.05,10-JUN-2022,2519,INE404A01024,
