SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
20MICRONS,EQ,30.55,30.6,30.2,30.4,30.45,30.25,15591,473977.6,19-JUL-2013,162,INE144J01027,
3IINFOTECH,EQ,5.1,5.1,4.9,4.95,4.95,5.05,535237,2670632.45,19-JUL-2013,641,INE748C01020,
3MINDIA,EQ,3524.95,3524.95,3480.0,3492.0,3492.0,3439.25,81,282414.9,19-JUL-2013,21,INE470A01017,
A2ZMES,EQ,12.1,12.45,11.55,11.95,11.9,12.3,43899,526130.6,19-JUL-2013,517,INE619I01012,
AANJANEYA,EQ,44.2,45.35,42.0,44.05,44.7,44.5,30640,1337167.05,19-JUL-2013,496,INE928K01013,
AARTIDRUGS,EQ,225.0,231.0,225.0,228.55,228.1,225.1,5699,1299725.25,19-JUL-2013,168,INE767A01016,
AARTIIND,EQ,79.25,79.25,76.65,78.6,78.35,79.7,5653,442019.5,19-JUL-2013,289,INE769A01020,
AARVEEDEN,EQ,37.95,38.5,36.55,37.1,37.65,37.95,1428,53520.95,19-JUL-2013,60,INE273D01019,
ABAN,EQ,247.0,248.0,241.45,242.65,243.35,246.95,110409,26916983.55,19-JUL-2013,3357,INE421A01028,
ABB,EQ,585.0,591.0,578.2,581.35,581.25,583.55,30707,17973333.3,19-JUL-2013,1694,INE117A01022,
ABBOTINDIA,EQ,1425.0,1425.0,1384.05,1414.35,1409.1,1393.95,961,1350116.35,19-JUL-2013,112,INE358A01014,
ABCIL,EQ,74.1,74.8,72.05,72.95,72.15,74.55,2002,146822.9,19-JUL-2013,106,INE605B01016,
ABGSHIP,EQ,265.0,275.8,260.0,272.75,275.0,265.75,9336,2504943.75,19-JUL-2013,633,INE067H01016,
ABIRLANUVO,EQ,1130.0,1189.0,1130.0,1161.2,1158.0,1130.65,365155,426199998.7,19-JUL-2013,28343,INE069A01017,
ACC,EQ,1275.0,1284.6,1261.15,1275.5,1274.5,1275.35,349108,442479434.15,19-JUL-2013,6652,INE012A01025,
ACCELYA,EQ,545.0,554.0,537.0,544.35,544.0,542.95,9241,5044477.6,19-JUL-2013,566,INE793A01012,
ACE,EQ,11.5,11.75,11.3,11.35,11.3,11.4,85075,980739.4,19-JUL-2013,271,INE731H01025,
ACROPETAL,EQ,5.0,5.1,4.9,4.95,4.95,5.05,9033,45102.55,19-JUL-2013,46,INE055L01013,
ADANIENT,EQ,200.75,202.75,195.5,199.8,199.5,200.75,1015765,203129093.85,19-JUL-2013,13223,INE423A01024,
ADANIPORTS,EQ,150.5,150.5,145.35,146.7,146.5,149.75,670836,98608799.05,19-JUL-2013,13141,INE742F01042,
ADANIPOWER,EQ,40.05,40.5,39.35,39.55,39.65,40.35,1119392,44563105.15,19-JUL-2013,4839,INE814H01011,
ADFFOODS,EQ,49.95,50.0,47.65,48.15,48.05,49.65,1186,58067.3,19-JUL-2013,68,INE982B01019,
ADHUNIK,EQ,23.6,23.6,22.0,22.25,22.45,22.6,24336,541421.55,19-JUL-2013,284,INE400H01019,
ADORWELD,EQ,119.95,120.0,118.0,118.15,118.0,119.05,4165,495112.75,19-JUL-2013,82,INE045A01017,
ADSL,BE,12.3,13.45,12.25,12.35,12.35,12.85,23980,299991.55,19-JUL-2013,90,INE102I01027,
ADVANTA,EQ,140.05,142.7,133.0,134.3,134.5,142.15,28419,3924018.1,19-JUL-2013,1056,INE517H01028,
AEGISCHEM,EQ,129.1,131.0,128.05,128.2,128.05,130.05,11549,1504892.8,19-JUL-2013,534,INE208C01017,
AFL,EQ,23.5,23.5,22.25,22.55,22.75,23.45,1883,42401.35,19-JUL-2013,33,INE020G01017,
AFTEK,EQ,4.45,4.75,4.45,4.6,4.7,4.4,87629,400270.2,19-JUL-2013,194,INE796A01023,
AGCNET,BE,110.25,121.0,110.25,118.7,121.0,115.6,9264,1078296.6,19-JUL-2013,173,INE676A01019,
AHLEAST,EQ,154.0,154.0,153.5,153.5,153.5,152.8,8,1231.5,19-JUL-2013,2,INE926K01017,
AHLUCONT,BE,28.85,28.85,28.45,28.55,28.55,28.85,1352,38733.2,19-JUL-2013,11,INE758C01029,
